,Scikit-Learn,Scikit-Learn,Scikit-Learn,Scikit-Learn,Rapids,Rapids,Rapids
,Test Size,Test,Total,Average,Test,Total,Average
0,0.004000144000000001,Linear Regression,0.19963860511779785,0.06654620170593262,Linear Regression,0.16922497749328613,0.056408325831095375
1,0.004000144000000001,K Nearest Neighbour,0.013418912887573242,0.004472970962524414,K Nearest Neighbour,0.001207113265991211,0.000402371088663737
2,0.008000144,Linear Regression,0.24139690399169922,0.08046563466389973,Linear Regression,0.0899503231048584,0.0299834410349528
3,0.008000144,K Nearest Neighbour,0.013986587524414062,0.0046621958414713545,K Nearest Neighbour,0.0011415481567382812,0.00038051605224609375
4,0.016000144,Linear Regression,0.579509973526001,0.19316999117533365,Linear Regression,0.09550118446350098,0.03183372815450033
5,0.016000144,K Nearest Neighbour,0.018654346466064453,0.006218115488688151,K Nearest Neighbour,0.002071380615234375,0.000690460205078125
6,0.032000144,Linear Regression,0.9437417984008789,0.31458059946695965,Linear Regression,0.1071326732635498,0.03571089108784994
7,0.032000144,K Nearest Neighbour,0.024403095245361328,0.00813436508178711,K Nearest Neighbour,0.0012137889862060547,0.00040459632873535156
8,0.06400014400000001,Linear Regression,1.3001017570495605,0.4333672523498535,Linear Regression,0.11304831504821777,0.03768277168273926
9,0.06400014400000001,K Nearest Neighbour,0.037218570709228516,0.012406190236409506,K Nearest Neighbour,0.009282112121582031,0.0030940373738606772
10,0.128000144,Linear Regression,2.658015251159668,0.8860050837198893,Linear Regression,0.13708186149597168,0.04569395383199056
11,0.128000144,K Nearest Neighbour,0.07358670234680176,0.024528900782267254,K Nearest Neighbour,0.0011396408081054688,0.00037988026936848957
12,0.25600014400000004,Linear Regression,6.934463262557983,2.3114877541859946,Linear Regression,0.19390010833740234,0.06463336944580078
13,0.25600014400000004,K Nearest Neighbour,0.11902904510498047,0.03967634836832682,K Nearest Neighbour,0.006722211837768555,0.002240737279256185
14,0.512000144,Linear Regression,19.977818965911865,6.659272988637288,Linear Regression,0.3096590042114258,0.10321966807047527
15,0.512000144,K Nearest Neighbour,0.18584108352661133,0.061947027842203774,K Nearest Neighbour,0.001195669174194336,0.000398556391398112
16,1.0240001440000002,Linear Regression,35.50917649269104,11.836392164230347,Linear Regression,0.53847336769104,0.17949112256368002
17,1.0240001440000002,K Nearest Neighbour,0.39209604263305664,0.13069868087768555,K Nearest Neighbour,0.012487173080444336,0.004162391026814778
18,2.048000144,Linear Regression,94.89698648452759,31.63232882817586,Linear Regression,1.0142650604248047,0.3380883534749349
19,2.048000144,K Nearest Neighbour,0.6728053092956543,0.22426843643188477,K Nearest Neighbour,0.0011591911315917969,0.0003863970438639323
