,Test Size,Test,Total,Average
0,0.008000152,Linear Regression,0.4617125988006592,0.15390419960021973
1,0.008000152,K Nearest Neighbour,0.02997303009033203,0.009991010030110678
2,0.016000152,Linear Regression,0.4808213710784912,0.16027379035949707
3,0.016000152,K Nearest Neighbour,0.030853271484375,0.010284423828125
4,0.032000152000000004,Linear Regression,0.7989490032196045,0.26631633440653485
5,0.032000152000000004,K Nearest Neighbour,0.037988901138305664,0.012662967046101889
6,0.064000152,Linear Regression,1.5440740585327148,0.5146913528442383
7,0.064000152,K Nearest Neighbour,0.05497860908508301,0.018326203028361004
8,0.128000152,Linear Regression,2.8852884769439697,0.9617628256479899
9,0.128000152,K Nearest Neighbour,0.08704113960266113,0.029013713200887043
10,0.25600015200000004,Linear Regression,5.4921393394470215,1.830713113149007
11,0.25600015200000004,K Nearest Neighbour,0.12551140785217285,0.04183713595072428
12,0.512000152,Linear Regression,11.458802700042725,3.8196009000142417
13,0.512000152,K Nearest Neighbour,0.18544745445251465,0.06181581815083822
14,1.0240001520000002,Linear Regression,25.46826410293579,8.489421367645264
15,1.0240001520000002,K Nearest Neighbour,0.3090362548828125,0.1030120849609375
16,2.048000152,Linear Regression,53.5286386013031,17.8428795337677
17,2.048000152,K Nearest Neighbour,0.62862229347229,0.20954076449076334
