,Scikit-Learn,Scikit-Learn,Scikit-Learn,Scikit-Learn,Rapids,Rapids,Rapids
,Test Size,Test,Total,Average,Test,Total,Average
0,0.00400016,Linear Regression,0.44220638275146484,0.14740212758382162,Linear Regression,0.1845865249633789,0.06152884165445963
1,0.00400016,K Nearest Neighbour,0.026594877243041992,0.008864959081013998,K Nearest Neighbour,0.0018820762634277344,0.0006273587544759115
2,0.008000160000000001,Linear Regression,0.3091559410095215,0.10305198033650716,Linear Regression,0.07617449760437012,0.025391499201456707
3,0.008000160000000001,K Nearest Neighbour,0.03103160858154297,0.01034386952718099,K Nearest Neighbour,0.0017809867858886719,0.0005936622619628906
4,0.01600016,Linear Regression,0.5241320133209229,0.17471067110697427,Linear Regression,0.07537317276000977,0.025124390920003254
5,0.01600016,K Nearest Neighbour,0.04059863090515137,0.013532876968383789,K Nearest Neighbour,0.0036580562591552734,0.001219352086385091
6,0.03200016,Linear Regression,0.8453457355499268,0.2817819118499756,Linear Regression,0.05957365036010742,0.01985788345336914
7,0.03200016,K Nearest Neighbour,0.055106163024902344,0.01836872100830078,K Nearest Neighbour,0.0017163753509521484,0.0005721251169840494
8,0.06400016,Linear Regression,1.619877576828003,0.539959192276001,Linear Regression,0.07014870643615723,0.023382902145385742
9,0.06400016,K Nearest Neighbour,0.08820700645446777,0.02940233548482259,K Nearest Neighbour,0.007631778717041016,0.002543926239013672
10,0.12800016,Linear Regression,3.112488269805908,1.0374960899353027,Linear Regression,0.08319282531738281,0.027730941772460938
11,0.12800016,K Nearest Neighbour,0.13080215454101562,0.04360071818033854,K Nearest Neighbour,0.0017337799072265625,0.0005779266357421875
12,0.25600016000000003,Linear Regression,6.271234035491943,2.090411345163981,Linear Regression,0.15109014511108398,0.050363381703694664
13,0.25600016000000003,K Nearest Neighbour,0.19741106033325195,0.06580368677775066,K Nearest Neighbour,0.01455235481262207,0.00485078493754069
14,0.51200016,Linear Regression,12.932175874710083,4.310725291570027,Linear Regression,0.25641417503356934,0.08547139167785645
15,0.51200016,K Nearest Neighbour,0.3387720584869385,0.11292401949564616,K Nearest Neighbour,0.0017826557159423828,0.0005942185719807943
16,1.0240001600000002,Linear Regression,27.976892948150635,9.325630982716879,Linear Regression,0.5277345180511475,0.17591150601704916
17,1.0240001600000002,K Nearest Neighbour,0.6082909107208252,0.20276363690694174,K Nearest Neighbour,0.001998424530029297,0.0006661415100097656
18,2.04800016,Linear Regression,62.36028480529785,20.78676160176595,Linear Regression,1.0856177806854248,0.3618725935618083
19,2.04800016,K Nearest Neighbour,1.1569924354553223,0.3856641451517741,K Nearest Neighbour,0.00197601318359375,0.0006586710611979166
