,Test Size,Test,Total,Average
0,0.003790152,Mean,0.00074005126953125,0.0002466837565104167
1,0.003790152,Sort,0.0048139095306396484,0.001604636510213216
2,0.003790152,Merge,0.04114842414855957,0.01371614138285319
3,0.003790152,Filter,0.0038084983825683594,0.0012694994608561199
4,0.003790152,All,0.048017024993896484,0.016005674997965496
5,0.007580152000000001,Mean,0.00019693374633789062,6.56445821126302e-05
6,0.007580152000000001,Sort,0.00565028190612793,0.0018834273020426433
7,0.007580152000000001,Merge,0.07204675674438477,0.02401558558146159
8,0.007580152000000001,Filter,0.005870342254638672,0.001956780751546224
9,0.007580152000000001,All,0.08939862251281738,0.029799540837605793
10,0.015160152000000001,Mean,0.000244140625,8.138020833333333e-05
11,0.015160152000000001,Sort,0.013540983200073242,0.004513661066691081
12,0.015160152000000001,Merge,0.16106367111206055,0.05368789037068685
13,0.015160152000000001,Filter,0.011892318725585938,0.0039641062418619795
14,0.015160152000000001,All,0.1861121654510498,0.062037388483683266
15,0.030320152000000003,Mean,0.0003552436828613281,0.00011841456095377605
16,0.030320152000000003,Sort,0.02559638023376465,0.008532126744588217
17,0.030320152000000003,Merge,0.288210391998291,0.096070130666097
18,0.030320152000000003,Filter,0.02147817611694336,0.00715939203898112
19,0.030320152000000003,All,0.317582368850708,0.10586078961690266
20,0.060640152,Mean,0.0005328655242919922,0.00017762184143066406
21,0.060640152,Sort,0.04845261573791504,0.016150871912638348
22,0.060640152,Merge,0.7353382110595703,0.24511273701985678
23,0.060640152,Filter,0.03808474540710449,0.012694915135701498
24,0.060640152,All,0.6166865825653076,0.20556219418843588
25,0.122542645,Mean,0.0009090900421142578,0.00030303001403808594
26,0.122542645,Sort,0.08526492118835449,0.028421640396118164
27,0.122542645,Merge,1.0383555889129639,0.3461185296376546
28,0.122542645,Filter,0.052115678787231445,0.01737189292907715
29,0.122542645,All,1.181570291519165,0.3938567638397217
30,0.24761944500000002,Mean,0.0016672611236572266,0.0005557537078857422
31,0.24761944500000002,Sort,0.18564605712890625,0.06188201904296875
32,0.24761944500000002,Merge,2.0512728691101074,0.6837576230367025
33,0.24761944500000002,Filter,0.06972217559814453,0.02324072519938151
34,0.24761944500000002,All,2.562262773513794,0.8540875911712646
35,0.48591657000000005,Mean,0.003156423568725586,0.0010521411895751953
36,0.48591657000000005,Sort,0.38497328758239746,0.12832442919413248
37,0.48591657000000005,Merge,5.1713950634002686,1.723798354466756
38,0.48591657000000005,Filter,0.10629725456237793,0.03543241818745931
39,0.48591657000000005,All,6.003026962280273,2.001008987426758
40,0.9654447020000001,Mean,0.006129026412963867,0.002043008804321289
41,0.9654447020000001,Sort,0.7041933536529541,0.23473111788431802
42,0.9654447020000001,Merge,10.33977460861206,3.44659153620402
43,0.9654447020000001,Filter,0.17864131927490234,0.059547106424967446
44,0.9654447020000001,All,11.31190013885498,3.7706333796183267
45,1.893503331,Mean,0.011710643768310547,0.003903547922770182
46,1.893503331,Sort,2.6223866939544678,0.8741288979848226
47,1.893503331,Merge,17.49481463432312,5.831604878107707
48,1.893503331,Filter,0.3196392059326172,0.10654640197753906
49,1.893503331,All,20.357144117355347,6.785714705785115
50,3.746920396,Mean,0.023736000061035156,0.007912000020345053
51,3.746920396,Sort,6.897979497909546,2.299326499303182
52,3.746920396,Merge,30.57409429550171,10.191364765167236
53,3.746920396,Filter,0.6057546138763428,0.2019182046254476
54,3.746920396,All,37.8765389919281,12.625512997309366
55,7.5757605120000004,Mean,0.04674863815307617,0.015582879384358725
56,7.5757605120000004,Sort,16.261470794677734,5.420490264892578
57,7.5757605120000004,Merge,44.35838985443115,14.78612995147705
58,7.5757605120000004,Filter,1.2050983905792236,0.4016994635264079
59,7.5757605120000004,All,59.52618169784546,19.842060565948486
